pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick,gasUsed,gasPrice
mypool,15837672,0xe6a5cdcb3711e8ac97ae5585e109f4868d59319b5dc164209c95d8a37086ddb1,1666852727,32,0xe6a5cdcb3711e8ac97ae5585e109f4868d59319b5dc164209c95d8a37086ddb1,0x10763988715993eaf59905029ce3414ada0b5200,recipient,-2555.504356,1.638007422976,2006353807048166040529941442770550,0,1559.3518748182603,202800,232550,12863528395
mypool,15837674,0x22e59192277ec06621df475af3d622ab64f5488f7db3a7ae35f450dae91e188b,1666852751,43,0x22e59192277ec06621df475af3d622ab64f5488f7db3a7ae35f450dae91e188b,0x04192b74807f697c4e78f4ea1c727f2bfcbfbc04,recipient,-6291.084995,4.032374192271339,2006341643256652418993381878405790,0,1559.3707825538027,202799,1193264,9157459706
mypool,15837674,0x6bf750e366e7bddbe3f99a49df3804aaed3e7efc2f2f87a8b67b1b884c1707b0,1666852751,285,0x6bf750e366e7bddbe3f99a49df3804aaed3e7efc2f2f87a8b67b1b884c1707b0,0xbc1500daaff721f626ef1a4f1a8c4e333648c5a4,recipient,-3.499405,0.002242991229212101,2006341636578392450060033694385067,0,1559.37079293477,202799,532077,11153494019
mypool,15837675,0x2abfc171f1c088daa88ee4c9c036a9103f2ebab15dba325e0c85024b54de3bb2,1666852763,2,0x2abfc171f1c088daa88ee4c9c036a9103f2ebab15dba325e0c85024b54de3bb2,0xeca2e2d894d19778939bd4dfc34d2a3c45e96456,recipient,113379.99654,-72.74949921449999,2006459454421916724857775639359691,0,1559.1876680680589,202801,310140,10292431141
mypool,15837675,0xeda801ede5c28e73d09e2ed3a7c4d68eb8da636c2f832a55125201f9cd09190d,1666852763,59,0xeda801ede5c28e73d09e2ed3a7c4d68eb8da636c2f832a55125201f9cd09190d,0x735dbbf2152012c378a5204a421831be8e3bff55,recipient,-154.957873,0.09933402173221935,2006459295134742051560877482287755,0,1559.1879156271389,202801,365553,12292431141
mypool,15837677,0xdded471867f80c29c4ec90e45d93588037626304f27caae708e771b3c2d6b5d7,1666852787,2,0xdded471867f80c29c4ec90e45d93588037626304f27caae708e771b3c2d6b5d7,0xd68fe83d3834bf35c6e1aa8a9d81c56249a61881,recipient,331612.99116,-212.82570552899998,2006800303621448559003436764201287,0,1558.6580660591455,202804,251320,9276741225
mypool,15837680,0x8bc90e0c86476cf1bf2091389e61af9c37ecfa441fefcd71e289c0c77a01092c,1666852823,300,0x8bc90e0c86476cf1bf2091389e61af9c37ecfa441fefcd71e289c0c77a01092c,0xfd700870c05eea211401eaed0d9efb96f7ff3fea,recipient,31157.077205,-20.0,2006832349420226380140371462238164,0,1558.6082880655174,202804,174842,11520907180
mypool,15837681,0x5f5630aeac34d285ecc95b941b99d5e7cf96a7ce6033b7aa7c8a410593ef702e,1666852835,2,0x5f5630aeac34d285ecc95b941b99d5e7cf96a7ce6033b7aa7c8a410593ef702e,0x479bc00624e58398f4cf59d78884d12fb515790a,recipient,-57828.500361,37.08300179255862,2006772901975828085286974126961546,0,1558.7006319992377,202804,232614,9944378962
mypool,15837682,0xf30d1976cdb60724fc1b24664fd1835811c21090ec13a6292ef13734f3bdf0c5,1666852847,2,0xf30d1976cdb60724fc1b24664fd1835811c21090ec13a6292ef13734f3bdf0c5,0x988749e7c18416447205893e0443ced3598cdd6b,recipient,-284534.072215,182.42782142642554,2006480453488739164813862308369965,0,1559.1550324999987,202801,185159,100724994749
mypool,15837685,0x25e9d9166c937d7e9690bb256737011183f630f01ab4fa259fc4c741f97a62fd,1666852883,2,0x25e9d9166c937d7e9690bb256737011183f630f01ab4fa259fc4c741f97a62fd,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,recipient,-208447.461587,133.60985056103675,2006199462806854441794406835138378,0,1559.5918173011466,202798,317626,9069523495
mypool,15837685,0x3b83d7668203a164727df669f03b59dd3ff2e2734477b46b86f50eadb1dc764f,1666852883,486,0x3b83d7668203a164727df669f03b59dd3ff2e2734477b46b86f50eadb1dc764f,0x975793c7a6a077221aca4e4fb9b7f9a46378463a,recipient,-4120.0,2.640385661437168,2006191605530893468577838017313023,0,1559.604033649035,202798,261416,10069523495
mypool,15837687,0x0b4e8b5a08fee80a5cd86b5704b87ab28004be2317c183f83f338ff42c3f29ed,1666852907,37,0x0b4e8b5a08fee80a5cd86b5704b87ab28004be2317c183f83f338ff42c3f29ed,0xecbde5878a4127b8def2af355dc7e2be5311f904,recipient,37000.0,-23.73585511955142,2006193021732356846479115106752445,0,1559.60183175449,202798,220089,10808132427
mypool,15837687,0x4ee7be90c03275e3dea3efe4d1fd7ae6e8d2718fcf2f06ba859de727c214e23a,1666852907,248,0x4ee7be90c03275e3dea3efe4d1fd7ae6e8d2718fcf2f06ba859de727c214e23a,0xe4f91a435ef991a380f8df573ef49d415b9d627d,recipient,-698.93433,0.44787865075518285,2006088253082650696006791241914848,0,1559.7647374935405,202797,307958,10808132427
mypool,15837687,0x6fd4f1af1a641b3144f40372d6d7533d39c68ce55ea1656298ab5b6222e793b7,1666852907,52,0x6fd4f1af1a641b3144f40372d6d7533d39c68ce55ea1656298ab5b6222e793b7,0x56f03dbc2d16f4a252a7176e1fc3f05b53c6aad5,recipient,-60137.917938,38.53873833877624,2006089585882706160767743054872467,0,1559.7626649501676,202797,296116,8808132427
mypool,15837687,0x73687b1f876d8f2e5e84145fb6c286eb74cd2874e2affde38d0cb65d7984e84f,1666852907,49,0x73687b1f876d8f2e5e84145fb6c286eb74cd2874e2affde38d0cb65d7984e84f,0xe4bef064c912bc95c404850019909efe8d357716,recipient,5894.957166,-3.781695473000502,2006204269698308569228997922561861,0,1559.5843437056503,202798,195645,10308132427
mypool,15837687,0xc030b9909b5c2d22bc6413d95da73b761310b9a5d93a3163f6d8c89b70f65b68,1666852907,338,0xc030b9909b5c2d22bc6413d95da73b761310b9a5d93a3163f6d8c89b70f65b68,0xf64aee929b7bf79aee510a5a162b02866677e524,recipient,3.0,-0.001924329154768571,2006088258806218066060180647751307,0,1559.7647285932155,202797,209296,10308132427
mypool,15837687,0xcde3f7237e737e61f6ddf31646f1f5c48de9b67cfc1495e514b0b2e0de95e859,1666852907,567,0xcde3f7237e737e61f6ddf31646f1f5c48de9b67cfc1495e514b0b2e0de95e859,0xefa5615b742945e1f6aedfe7edfcf61ec5dceec5,recipient,-101.0,0.0647209726298033,2006088066209147932690101216901820,0,1559.765028087676,202797,1044148,9000000000
mypool,15837688,0xc1841ed2e89820f9087bcbc2989db51b1e573b065aa552f9c10d75dbfcf5b040,1666852919,29,0xc1841ed2e89820f9087bcbc2989db51b1e573b065aa552f9c10d75dbfcf5b040,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,recipient,99059.48382,-63.54695232220727,2006276444746574704402732454492537,0,1559.4721347916002,202799,307303,12193428194
